checkpoint: runs/ppo_cube__d1__s1__1781126172/agent.pt  (greedy policy, 200 episodes/depth, max 30 steps)

 depth   success%   mean_steps   median_steps
----------------------------------------------
     1     100.0%          1.0            1.0
     2     100.0%          2.0            2.0
     3     100.0%          2.9            3.0
     4      98.0%          3.9            4.0
     5      88.0%          4.9            5.0
     6      66.5%          5.8            6.0
     7      37.0%          6.6            7.0
     8      23.0%          7.6            8.0
     9       7.0%          7.6            7.0
    10       6.0%          8.2            8.0
    11       1.5%          8.3            9.0
    12       1.0%         12.0           12.0
    13       0.0%          n/a            n/a
    14       0.0%          n/a            n/a
