checkpoint: runs/ppo_uniform__d10__s1__1781128001/agent.pt  (greedy policy, 200 episodes/depth, max 30 steps)

 depth   success%   mean_steps   median_steps
----------------------------------------------
     1     100.0%          1.0            1.0
     2     100.0%          2.0            2.0
     3      98.5%          3.0            3.0
     4      85.0%          4.0            4.0
     5      51.0%          5.0            5.0
     6      28.5%          5.8            6.0
     7      11.0%          6.2            7.0
     8       5.0%          6.6            6.0
     9       2.5%          7.4            7.0
    10       0.0%          n/a            n/a
    11       0.5%          5.0            5.0
    12       0.5%          6.0            6.0
    13       0.0%          n/a            n/a
    14       0.0%          n/a            n/a
